Episode,Score,Steps,Max_Tile,Time_Taken,Algorithm
1,5820,414,512.0,59.5,Beam Search
2,12368,749,1024.0,111.8,Beam Search
3,7184,495,512.0,75.0,Beam Search
4,16116,947,1024.0,143.5,Beam Search
5,14356,834,1024.0,125.9,Beam Search
6,3248,268,256.0,39.4,Beam Search
7,16432,964,1024.0,143.4,Beam Search
8,15528,902,1024.0,134.9,Beam Search
9,12244,735,1024.0,109.9,Beam Search
10,13900,799,1024.0,119.4,Beam Search
11,12424,733,1024.0,110.4,Beam Search
12,3196,263,256.0,38.9,Beam Search
13,15488,907,1024.0,136.2,Beam Search
14,12188,723,1024.0,106.6,Beam Search
15,16348,966,1024.0,143.2,Beam Search
16,7340,503,512.0,74.1,Beam Search
17,15540,909,1024.0,135.3,Beam Search
18,16104,950,1024.0,142.5,Beam Search
19,13784,798,1024.0,117.9,Beam Search
20,14824,866,1024.0,127.9,Beam Search
21,16344,973,1024.0,144.3,Beam Search
22,14604,852,1024.0,126.0,Beam Search
23,14456,844,1024.0,125.8,Beam Search
24,16008,928,1024.0,137.5,Beam Search
25,11984,701,1024.0,103.9,Beam Search
