Episode,Score,Steps,Max_Tile,Time_Taken,Algorithm
1,7056,480,512.0,98.1,Beam Search Depth 5
2,7112,483,512.0,99.2,Beam Search Depth 5
3,23276,1191,2048.0,249.6,Beam Search Depth 5
4,6936,477,512.0,99.6,Beam Search Depth 5
5,7476,520,512.0,109.6,Beam Search Depth 5
6,15484,901,1024.0,188.9,Beam Search Depth 5
7,16212,956,1024.0,201.3,Beam Search Depth 5
8,16104,949,1024.0,200.6,Beam Search Depth 5
9,12072,709,1024.0,150.3,Beam Search Depth 5
10,16216,956,1024.0,200.7,Beam Search Depth 5
11,12156,723,1024.0,151.5,Beam Search Depth 5
12,34412,1755,2048.0,370.1,Beam Search Depth 5
14,16076,943,1024.0,200.1,Beam Search Depth 5
15,16360,969,1024.0,203.4,Beam Search Depth 5
16,16160,959,1024.0,202.0,Beam Search Depth 5
17,14436,842,1024.0,177.4,Beam Search Depth 5
18,16188,954,1024.0,201.1,Beam Search Depth 5
19,27228,1415,2048.0,299.7,Beam Search Depth 5
20,23444,1215,2048.0,254.9,Beam Search Depth 5
21,16296,953,1024.0,199.7,Beam Search Depth 5
22,16080,937,1024.0,197.8,Beam Search Depth 5
23,12272,728,1024.0,153.0,Beam Search Depth 5
24,15416,880,1024.0,185.9,Beam Search Depth 5
25,14180,820,1024.0,173.4,Beam Search Depth 5
26,22932,1159,2048.0,245.1,Beam Search Depth 5
27,16188,958,1024.0,201.9,Beam Search Depth 5
28,12360,747,1024.0,157.6,Beam Search Depth 5
29,7048,478,512.0,100.2,Beam Search Depth 5
30,14316,838,1024.0,175.3,Beam Search Depth 5
31,27116,1409,2048.0,298.3,Beam Search Depth 5
32,10452,609,1024.0,128.0,Beam Search Depth 5
33,12120,711,1024.0,150.2,Beam Search Depth 5
34,15196,879,1024.0,186.1,Beam Search Depth 5
35,7388,510,512.0,105.5,Beam Search Depth 5
36,12228,733,1024.0,153.6,Beam Search Depth 5
37,7100,490,512.0,102.4,Beam Search Depth 5
38,12032,716,1024.0,149.8,Beam Search Depth 5
39,12076,711,1024.0,149.4,Beam Search Depth 5
40,15196,880,1024.0,186.4,Beam Search Depth 5
41,32556,1686,2048.0,356.9,Beam Search Depth 5
42,16372,965,1024.0,203.8,Beam Search Depth 5
43,16176,951,1024.0,199.4,Beam Search Depth 5
44,16472,980,1024.0,204.5,Beam Search Depth 5
45,16116,949,1024.0,200.0,Beam Search Depth 5
46,27152,1396,2048.0,293.2,Beam Search Depth 5
47,15848,922,1024.0,193.9,Beam Search Depth 5
48,15536,915,1024.0,193.3,Beam Search Depth 5
49,15984,931,1024.0,196.1,Beam Search Depth 5
50,15888,932,1024.0,196.5,Beam Search Depth 5
51,16072,941,1024.0,199.3,Beam Search Depth 5
52,35820,1830,2048.0,388.5,Beam Search Depth 5
53,12160,716,1024.0,149.7,Beam Search Depth 5
54,7244,509,512.0,106.9,Beam Search Depth 5
55,16748,993,1024.0,209.9,Beam Search Depth 5
56,24772,1242,2048.0,261.2,Beam Search Depth 5
57,12356,748,1024.0,157.6,Beam Search Depth 5
58,3368,278,256.0,57.7,Beam Search Depth 5
59,16020,943,1024.0,199.3,Beam Search Depth 5
60,15892,932,1024.0,194.9,Beam Search Depth 5
61,25588,1308,2048.0,274.6,Beam Search Depth 5
62,16216,950,1024.0,198.3,Beam Search Depth 5
63,16312,962,1024.0,202.2,Beam Search Depth 5
64,15844,933,1024.0,196.3,Beam Search Depth 5
65,7224,501,512.0,104.5,Beam Search Depth 5
66,7328,503,512.0,104.7,Beam Search Depth 5
67,14424,838,1024.0,177.5,Beam Search Depth 5
68,12448,744,1024.0,155.6,Beam Search Depth 5
69,6460,443,512.0,92.5,Beam Search Depth 5
70,15740,927,1024.0,195.7,Beam Search Depth 5
71,15172,878,1024.0,185.9,Beam Search Depth 5
72,16020,933,1024.0,196.9,Beam Search Depth 5
73,25880,1336,2048.0,280.3,Beam Search Depth 5
74,25552,1308,2048.0,273.9,Beam Search Depth 5
75,14512,852,1024.0,179.8,Beam Search Depth 5
76,14468,845,1024.0,179.0,Beam Search Depth 5
77,16188,958,1024.0,202.7,Beam Search Depth 5
78,16172,967,1024.0,204.0,Beam Search Depth 5
79,16088,940,1024.0,197.0,Beam Search Depth 5
80,27900,1471,2048.0,310.5,Beam Search Depth 5
81,7516,523,512.0,109.3,Beam Search Depth 5
82,23168,1172,2048.0,247.1,Beam Search Depth 5
83,14372,837,1024.0,176.9,Beam Search Depth 5
84,10400,602,1024.0,126.5,Beam Search Depth 5
85,7072,484,512.0,100.6,Beam Search Depth 5
86,12552,745,1024.0,155.4,Beam Search Depth 5
87,14412,836,1024.0,176.0,Beam Search Depth 5
88,16416,979,1024.0,205.9,Beam Search Depth 5
89,16256,959,1024.0,201.6,Beam Search Depth 5
90,12008,707,1024.0,148.8,Beam Search Depth 5
91,15340,891,1024.0,189.0,Beam Search Depth 5
92,16004,934,1024.0,196.7,Beam Search Depth 5
93,11756,680,1024.0,143.1,Beam Search Depth 5
94,27040,1412,2048.0,298.3,Beam Search Depth 5
95,7172,493,512.0,103.9,Beam Search Depth 5
96,12156,719,1024.0,150.4,Beam Search Depth 5
97,27200,1415,2048.0,299.9,Beam Search Depth 5
98,15356,891,1024.0,188.6,Beam Search Depth 5
99,15968,933,1024.0,197.4,Beam Search Depth 5
100,25856,1343,2048.0,281.9,Beam Search Depth 5
