Episode,Score,Steps,Max_Tile,Time_Taken,Algorithm
1,10392,600,1024.0,509.2,Expectimax
2,6980,477,512.0,436.8,Expectimax
3,12200,725,1024.0,550.4,Expectimax
4,7308,510,512.0,444.9,Expectimax
5,22852,1145,2048.0,741.9,Expectimax
6,16128,955,1024.0,673.4,Expectimax
7,3212,266,256.0,220.6,Expectimax
8,12092,715,1024.0,584.2,Expectimax
9,12808,769,1024.0,521.8,Expectimax
10,16136,949,1024.0,630.1,Expectimax
10,7124,485,512.0,389.1,Expectimax
12,6160,432,512.0,343.5,Expectimax
13,7800,537,512.0,398.3,Expectimax
14,7196,494,512.0,423.8,Expectimax
15,15900,932,1024.0,650.7,Expectimax
16,14568,843,1024.0,600.2,Expectimax
17,12436,739,1024.0,588.1,Expectimax
18,7208,501,512.0,425.9,Expectimax
19,16164,951,1024.0,638.5,Expectimax
20,3220,261,256.0,257.6,Expectimax
20,7412,508,512.0,371.5,Expectimax
22,16092,936,1024.0,658.7,Expectimax
23,16284,966,1024.0,753.8,Expectimax
24,14576,855,1024.0,636.6,Expectimax
25,15640,913,1024.0,661.0,Expectimax
26,16064,944,1024.0,692.7,Expectimax
27,12152,719,1024.0,543.1,Expectimax
28,15404,897,1024.0,649.7,Expectimax
29,12232,730,1024.0,583.3,Expectimax
30,16252,957,1024.0,713.8,Expectimax
30,3076,254,256.0,245.9,Expectimax
32,16144,947,1024.0,679.9,Expectimax
33,11764,697,1024.0,551.4,Expectimax
34,15056,880,1024.0,665.8,Expectimax
35,23408,1206,2048.0,864.7,Expectimax
36,12184,722,1024.0,533.9,Expectimax
37,16192,958,1024.0,714.2,Expectimax
38,14632,869,1024.0,572.3,Expectimax
39,14512,856,1024.0,640.9,Expectimax
40,14768,870,1024.0,624.9,Expectimax
40,6968,470,512.0,401.2,Expectimax
42,14504,853,1024.0,603.6,Expectimax
43,12228,729,1024.0,544.5,Expectimax
44,7108,489,512.0,384.9,Expectimax
45,6136,407,512.0,332.1,Expectimax
46,7344,503,512.0,388.7,Expectimax
47,10336,596,1024.0,484.2,Expectimax
48,15544,910,1024.0,679.3,Expectimax
49,23476,1209,2048.0,789.5,Expectimax
50,10704,635,1024.0,525.0,Expectimax
50,12076,716,1024.0,523.2,Expectimax
52,7184,496,512.0,376.2,Expectimax
53,7188,492,512.0,350.2,Expectimax
54,6296,421,512.0,353.6,Expectimax
55,7060,478,512.0,409.5,Expectimax
56,11396,670,1024.0,507.4,Expectimax
57,7268,496,512.0,387.0,Expectimax
58,6444,439,512.0,378.0,Expectimax
59,7104,485,512.0,358.8,Expectimax
60,14468,846,1024.0,643.3,Expectimax
60,7692,501,512.0,391.3,Expectimax
62,12300,746,1024.0,572.8,Expectimax
63,16180,952,1024.0,591.7,Expectimax
64,7324,503,512.0,376.5,Expectimax
65,12480,751,1024.0,547.8,Expectimax
66,11900,698,1024.0,447.9,Expectimax
67,7072,477,512.0,369.9,Expectimax
68,5392,368,512.0,304.8,Expectimax
69,12156,727,1024.0,519.2,Expectimax
70,11668,663,1024.0,457.8,Expectimax
70,11652,684,1024.0,533.0,Expectimax
72,6664,458,512.0,325.8,Expectimax
73,23468,1207,2048.0,769.8,Expectimax
74,14056,823,1024.0,607.1,Expectimax
75,6656,460,512.0,354.3,Expectimax
76,7184,491,512.0,362.0,Expectimax
77,12332,743,1024.0,572.5,Expectimax
78,16228,953,1024.0,704.2,Expectimax
