Episode,Score,Steps,Max_Tile,Time_Taken,Algorithm
1,2164,207,128.0,172.8,Hybrid Beam Search
2,6756,453,512.0,345.5,Hybrid Beam Search
3,7016,472,512.0,376.6,Hybrid Beam Search
4,2492,209,256.0,176.7,Hybrid Beam Search
5,7268,505,512.0,369.4,Hybrid Beam Search
6,6396,433,512.0,364.4,Hybrid Beam Search
7,5164,402,256.0,306.9,Hybrid Beam Search
8,7128,493,512.0,319.9,Hybrid Beam Search
9,5260,398,256.0,295.4,Hybrid Beam Search
10,9400,607,512.0,442.6,Hybrid Beam Search
11,6304,414,512.0,336.9,Hybrid Beam Search
12,6356,431,512.0,314.9,Hybrid Beam Search
13,7104,492,512.0,381.6,Hybrid Beam Search
14,6280,421,512.0,316.0,Hybrid Beam Search
15,13016,767,1024.0,490.1,Hybrid Beam Search
16,15324,884,1024.0,615.1,Hybrid Beam Search
17,7100,486,512.0,372.9,Hybrid Beam Search
18,9492,619,512.0,459.7,Hybrid Beam Search
19,5480,390,512.0,331.0,Hybrid Beam Search
20,2268,212,128.0,168.6,Hybrid Beam Search
21,6268,416,512.0,325.4,Hybrid Beam Search
22,6796,460,512.0,345.3,Hybrid Beam Search
23,12064,713,1024.0,505.3,Hybrid Beam Search
24,6904,473,512.0,326.7,Hybrid Beam Search
25,9432,614,512.0,445.3,Hybrid Beam Search
26,11424,676,1024.0,473.2,Hybrid Beam Search
27,5276,362,512.0,274.3,Hybrid Beam Search
28,4088,315,256.0,239.9,Hybrid Beam Search
29,6336,429,512.0,311.8,Hybrid Beam Search
30,7268,503,512.0,368.6,Hybrid Beam Search
31,7032,481,512.0,371.4,Hybrid Beam Search
32,7052,484,512.0,396.3,Hybrid Beam Search
33,3108,257,256.0,168.9,Hybrid Beam Search
34,8328,523,512.0,376.5,Hybrid Beam Search
35,3284,267,256.0,195.9,Hybrid Beam Search
36,3088,255,256.0,201.6,Hybrid Beam Search
37,8032,556,512.0,405.8,Hybrid Beam Search
38,7004,471,512.0,322.3,Hybrid Beam Search
39,6916,473,512.0,370.1,Hybrid Beam Search
40,7064,483,512.0,382.0,Hybrid Beam Search
41,6756,458,512.0,355.6,Hybrid Beam Search
42,4052,326,256.0,239.7,Hybrid Beam Search
43,3464,273,256.0,220.6,Hybrid Beam Search
44,3348,275,256.0,215.7,Hybrid Beam Search
45,2308,198,256.0,157.3,Hybrid Beam Search
46,11952,701,1024.0,526.9,Hybrid Beam Search
47,11876,698,1024.0,531.5,Hybrid Beam Search
48,12188,726,1024.0,485.9,Hybrid Beam Search
49,10072,575,1024.0,453.0,Hybrid Beam Search
50,5312,361,512.0,281.2,Hybrid Beam Search
51,12060,704,1024.0,512.5,Hybrid Beam Search
52,8576,545,512.0,385.8,Hybrid Beam Search
53,6708,464,512.0,345.4,Hybrid Beam Search
54,4480,347,256.0,262.0,Hybrid Beam Search
55,5256,364,512.0,288.8,Hybrid Beam Search
56,1008,122,64.0,101.1,Hybrid Beam Search
57,5144,356,512.0,301.3,Hybrid Beam Search
58,7160,490,512.0,365.8,Hybrid Beam Search
59,9164,590,512.0,400.4,Hybrid Beam Search
60,7056,480,512.0,371.0,Hybrid Beam Search
61,12292,740,1024.0,557.3,Hybrid Beam Search
62,5304,364,512.0,295.2,Hybrid Beam Search
63,4940,372,256.0,287.9,Hybrid Beam Search
64,7124,486,512.0,339.8,Hybrid Beam Search
65,6468,434,512.0,331.8,Hybrid Beam Search
66,10328,654,512.0,471.1,Hybrid Beam Search
67,10052,574,1024.0,464.5,Hybrid Beam Search
68,15556,894,1024.0,574.6,Hybrid Beam Search
69,6392,429,512.0,287.0,Hybrid Beam Search
70,2800,230,256.0,175.2,Hybrid Beam Search
71,5316,362,512.0,258.8,Hybrid Beam Search
72,2000,186,128.0,153.9,Hybrid Beam Search
73,7340,499,512.0,331.8,Hybrid Beam Search
74,8916,573,512.0,414.4,Hybrid Beam Search
75,11796,690,1024.0,424.1,Hybrid Beam Search
76,3408,284,256.0,233.9,Hybrid Beam Search
77,6796,457,512.0,348.9,Hybrid Beam Search
78,1300,132,128.0,120.6,Hybrid Beam Search
79,12192,728,1024.0,534.8,Hybrid Beam Search
80,2804,251,128.0,188.2,Hybrid Beam Search
81,7284,494,512.0,376.7,Hybrid Beam Search
82,7152,488,512.0,323.5,Hybrid Beam Search
83,3052,252,256.0,210.2,Hybrid Beam Search
84,7060,485,512.0,331.5,Hybrid Beam Search
85,3304,259,256.0,208.9,Hybrid Beam Search
86,12044,708,1024.0,507.8,Hybrid Beam Search
87,5356,372,512.0,291.8,Hybrid Beam Search
88,2644,245,128.0,191.2,Hybrid Beam Search
89,4384,326,256.0,234.3,Hybrid Beam Search
90,7180,496,512.0,347.6,Hybrid Beam Search
91,7000,477,512.0,351.2,Hybrid Beam Search
92,12312,727,1024.0,505.7,Hybrid Beam Search
93,7164,483,512.0,362.2,Hybrid Beam Search
94,2008,185,128.0,156.2,Hybrid Beam Search
95,6992,480,512.0,397.3,Hybrid Beam Search
96,10980,626,1024.0,475.3,Hybrid Beam Search
97,7168,495,512.0,350.7,Hybrid Beam Search
98,3120,256,256.0,199.4,Hybrid Beam Search
99,13428,755,1024.0,516.8,Hybrid Beam Search
100,12040,708,1024.0,542.7,Hybrid Beam Search
